ClientKey,NotaRegelBedrag,NotaJaar,NotaKwartaal,NotaMaand,BuurtCode,BuurtNaam
1,736.04,2018,Qtr 2,September,BU08260300,Dorst
1,1968.44,2020,Qtr 4,May,BU08261300,Vogelbuurt
1,879.28,2021,Qtr 3,August,BU08260601,Sterrenbuurt
1,1023.72,2020,Qtr 3,January,BU08260300,Vogelbuurt
1,1863.67,2020,Qtr 1,July,BU08261307,Buitengebied Dorst-Zuid
1,2034.11,2021,Qtr 4,April,BU08260300,Sterrenbuurt
1,497.3,2020,Qtr 2,July,BU08260300,Dorst
1,2375.63,2019,Qtr 2,January,BU08260300,Sterrenbuurt
1,2416.02,2019,Qtr 4,April,BU08260300,Sterrenbuurt
1,1176.1,2021,Qtr 4,January,BU08260601,Slotjes-West
1,35.07,2020,Qtr 3,January,BU08261300,Sterrenbuurt
1,2414.11,2021,Qtr 2,March,BU08261300,Sterrenbuurt
1,1369.33,2020,Qtr 2,October,BU08260601,Buitengebied Dorst-Zuid
1,2032.09,2018,Qtr 3,April,BU08260601,Sterrenbuurt
1,1441.67,2021,Qtr 2,January,BU08260300,Dorst
1,495.01,2018,Qtr 4,August,BU08260300,Dorst
1,241.94,2021,Qtr 2,July,BU08260102,Sterrenbuurt
1,708.37,2020,Qtr 2,January,BU08261307,Slotjes-West
1,1152.43,2020,Qtr 3,December,BU08260102,Slotjes-West
1,1449.31,2018,Qtr 3,March,BU08260300,Dorst
2,187.05,2019,Qtr 3,September,BU08261307,Buitengebied Dorst-Zuid
2,1174.13,2021,Qtr 4,November,BU08261307,Slotjes-West
2,1671.41,2021,Qtr 3,December,BU08260601,Vogelbuurt
2,1839.74,2019,Qtr 1,March,BU08260102,Buitengebied Dorst-Zuid
2,24.76,2018,Qtr 3,July,BU08260300,Buitengebied Dorst-Zuid
2,1657.52,2018,Qtr 4,July,BU08261300,Slotjes-West
2,524.56,2021,Qtr 4,September,BU08261307,Dorst
2,837.25,2019,Qtr 2,June,BU08260601,Dorst
2,1019.05,2021,Qtr 3,November,BU08261307,Vogelbuurt
2,78.64,2021,Qtr 3,January,BU08260601,Dorst
2,210.24,2018,Qtr 1,October,BU08261307,Slotjes-West
2,376.57,2020,Qtr 3,June,BU08260300,Vogelbuurt
2,1076.87,2018,Qtr 3,October,BU08260601,Sterrenbuurt
2,1173.23,2021,Qtr 2,February,BU08260102,Sterrenbuurt
2,160.96,2018,Qtr 4,December,BU08261300,Vogelbuurt
2,1925.07,2021,Qtr 1,August,BU08260102,Slotjes-West
2,506.08,2019,Qtr 3,August,BU08260300,Buitengebied Dorst-Zuid
2,2473.07,2019,Qtr 2,July,BU08260102,Buitengebied Dorst-Zuid
2,545.82,2018,Qtr 4,February,BU08261307,Vogelbuurt
2,1788.1,2020,Qtr 2,March,BU08261307,Vogelbuurt
3,1318.62,2018,Qtr 3,June,BU08261307,Slotjes-West
3,1813.31,2018,Qtr 2,February,BU08261307,Slotjes-West
3,673.43,2018,Qtr 2,October,BU08260102,Slotjes-West
3,1624.71,2019,Qtr 1,April,BU08260300,Dorst
3,1652.26,2018,Qtr 1,March,BU08260601,Buitengebied Dorst-Zuid
3,880.38,2020,Qtr 1,July,BU08260102,Vogelbuurt
3,2335.19,2020,Qtr 2,May,BU08261307,Dorst
3,977.64,2018,Qtr 3,July,BU08260102,Sterrenbuurt
3,1470.99,2020,Qtr 3,January,BU08260102,Slotjes-West
3,166.17,2021,Qtr 1,July,BU08260102,Buitengebied Dorst-Zuid
3,1286.55,2021,Qtr 1,June,BU08261300,Vogelbuurt
3,1853.31,2018,Qtr 1,January,BU08260300,Dorst
3,2166.39,2018,Qtr 2,May,BU08260601,Slotjes-West
3,575.5,2021,Qtr 1,April,BU08260601,Dorst
3,767.0,2018,Qtr 3,December,BU08260601,Slotjes-West
3,1375.82,2021,Qtr 2,March,BU08261300,Buitengebied Dorst-Zuid
3,2296.08,2018,Qtr 1,March,BU08260300,Buitengebied Dorst-Zuid
3,1477.01,2018,Qtr 3,August,BU08260102,Dorst
3,820.33,2021,Qtr 2,June,BU08260300,Sterrenbuurt
3,480.11,2019,Qtr 4,October,BU08260102,Sterrenbuurt
4,1371.28,2019,Qtr 2,October,BU08260601,Dorst
4,1927.2,2019,Qtr 2,August,BU08260102,Vogelbuurt
4,1872.72,2021,Qtr 3,December,BU08261307,Buitengebied Dorst-Zuid
4,86.2,2021,Qtr 2,March,BU08260102,Dorst
4,832.08,2019,Qtr 4,February,BU08260300,Dorst
4,1866.76,2019,Qtr 4,September,BU08261307,Slotjes-West
4,1020.0,2019,Qtr 2,November,BU08260102,Slotjes-West
4,236.77,2021,Qtr 2,January,BU08260300,Slotjes-West
4,504.35,2018,Qtr 4,August,BU08260601,Dorst
4,1842.76,2018,Qtr 3,April,BU08261300,Dorst
4,400.05,2021,Qtr 1,December,BU08260601,Dorst
4,1033.65,2019,Qtr 2,June,BU08261307,Dorst
4,1106.51,2019,Qtr 3,September,BU08260300,Dorst
4,1246.5,2020,Qtr 4,February,BU08260300,Sterrenbuurt
4,2042.51,2018,Qtr 2,January,BU08261307,Buitengebied Dorst-Zuid
4,411.89,2019,Qtr 1,January,BU08260102,Sterrenbuurt
4,1979.55,2020,Qtr 2,December,BU08260102,Slotjes-West
4,1434.57,2018,Qtr 1,October,BU08261300,Sterrenbuurt
4,2116.86,2019,Qtr 2,May,BU08261300,Vogelbuurt
4,907.68,2020,Qtr 2,April,BU08260601,Vogelbuurt
5,1010.66,2020,Qtr 1,March,BU08260102,Dorst
5,1623.48,2020,Qtr 3,August,BU08261307,Dorst
5,360.73,2021,Qtr 2,January,BU08261300,Dorst
5,2421.23,2021,Qtr 2,October,BU08260601,Slotjes-West
5,285.62,2021,Qtr 3,August,BU08260601,Buitengebied Dorst-Zuid
5,547.46,2020,Qtr 3,June,BU08261300,Buitengebied Dorst-Zuid
5,192.72,2021,Qtr 1,May,BU08261300,Dorst
5,1961.79,2018,Qtr 2,September,BU08261307,Sterrenbuurt
5,736.2,2020,Qtr 2,May,BU08261300,Buitengebied Dorst-Zuid
5,1567.09,2019,Qtr 2,February,BU08260300,Sterrenbuurt
5,1362.16,2019,Qtr 2,April,BU08260102,Vogelbuurt
5,2025.49,2020,Qtr 2,April,BU08260601,Vogelbuurt
5,1588.43,2021,Qtr 1,May,BU08260102,Slotjes-West
5,392.37,2019,Qtr 3,September,BU08260601,Dorst
5,9.0,2020,Qtr 4,September,BU08261300,Sterrenbuurt
5,1077.69,2018,Qtr 2,January,BU08261300,Sterrenbuurt
5,1144.01,2021,Qtr 3,February,BU08260300,Sterrenbuurt
5,427.07,2020,Qtr 4,October,BU08261307,Vogelbuurt
5,999.14,2021,Qtr 2,October,BU08260601,Sterrenbuurt
5,1538.79,2019,Qtr 1,June,BU08260102,Vogelbuurt
6,530.42,2020,Qtr 4,June,BU08260300,Slotjes-West
6,1131.51,2019,Qtr 1,March,BU08260601,Buitengebied Dorst-Zuid
6,990.06,2021,Qtr 3,October,BU08260601,Sterrenbuurt
6,1950.23,2020,Qtr 1,February,BU08260102,Buitengebied Dorst-Zuid
6,2182.96,2019,Qtr 3,October,BU08261307,Vogelbuurt
6,793.62,2019,Qtr 3,August,BU08260102,Vogelbuurt
6,1929.69,2018,Qtr 3,April,BU08260102,Dorst
6,894.56,2018,Qtr 2,January,BU08260300,Buitengebied Dorst-Zuid
6,2063.32,2021,Qtr 3,October,BU08261300,Vogelbuurt
6,1191.22,2021,Qtr 1,December,BU08260300,Sterrenbuurt
6,743.44,2020,Qtr 3,November,BU08260601,Slotjes-West
6,462.08,2020,Qtr 1,January,BU08261307,Sterrenbuurt
6,1672.11,2020,Qtr 2,May,BU08261300,Vogelbuurt
6,1263.39,2021,Qtr 2,September,BU08260601,Dorst
6,2479.25,2018,Qtr 1,February,BU08261300,Slotjes-West
6,1967.98,2020,Qtr 1,March,BU08261307,Slotjes-West
6,1230.69,2019,Qtr 3,February,BU08261300,Sterrenbuurt
6,305.06,2019,Qtr 4,April,BU08261307,Vogelbuurt
6,1736.04,2018,Qtr 2,September,BU08261307,Vogelbuurt
6,2242.99,2021,Qtr 2,August,BU08261307,Vogelbuurt
7,683.37,2018,Qtr 1,July,BU08260601,Dorst
7,1298.67,2019,Qtr 1,June,BU08261300,Dorst
7,1577.04,2018,Qtr 3,February,BU08261307,Vogelbuurt
7,2207.7,2018,Qtr 3,March,BU08260102,Dorst
7,1496.79,2019,Qtr 3,February,BU08261300,Dorst
7,704.62,2020,Qtr 2,June,BU08261300,Buitengebied Dorst-Zuid
7,1527.71,2021,Qtr 1,April,BU08260300,Dorst
7,931.02,2018,Qtr 3,June,BU08260102,Buitengebied Dorst-Zuid
7,745.79,2020,Qtr 4,October,BU08261307,Vogelbuurt
7,1528.62,2020,Qtr 3,November,BU08260601,Dorst
7,220.61,2021,Qtr 2,September,BU08260300,Sterrenbuurt
7,1043.43,2018,Qtr 2,November,BU08261300,Sterrenbuurt
7,2306.01,2018,Qtr 2,August,BU08261300,Buitengebied Dorst-Zuid
7,992.79,2020,Qtr 4,January,BU08260300,Vogelbuurt
7,1804.03,2020,Qtr 2,July,BU08261307,Dorst
7,2275.74,2020,Qtr 1,May,BU08260300,Dorst
7,2453.32,2021,Qtr 1,December,BU08260601,Dorst
7,1865.64,2019,Qtr 3,July,BU08260102,Dorst
7,148.19,2021,Qtr 4,August,BU08261307,Vogelbuurt
7,2193.46,2018,Qtr 2,March,BU08260102,Buitengebied Dorst-Zuid
8,1431.52,2021,Qtr 1,March,BU08260300,Sterrenbuurt
8,1748.43,2020,Qtr 4,September,BU08260300,Dorst
8,1186.92,2021,Qtr 2,August,BU08260601,Sterrenbuurt
8,2286.87,2019,Qtr 4,March,BU08260102,Sterrenbuurt
8,1408.62,2020,Qtr 1,May,BU08260102,Vogelbuurt
8,2159.54,2019,Qtr 3,January,BU08260601,Sterrenbuurt
8,2423.8,2019,Qtr 3,October,BU08260300,Dorst
8,1147.73,2018,Qtr 1,February,BU08261307,Dorst
8,305.98,2020,Qtr 3,January,BU08260102,Sterrenbuurt
8,1063.46,2020,Qtr 4,August,BU08261300,Dorst
8,959.61,2019,Qtr 1,August,BU08261300,Sterrenbuurt
8,582.34,2018,Qtr 4,December,BU08260102,Vogelbuurt
8,1620.53,2020,Qtr 4,May,BU08260102,Vogelbuurt
8,1838.75,2019,Qtr 1,October,BU08261307,Vogelbuurt
8,755.53,2018,Qtr 1,June,BU08260102,Dorst
8,458.49,2019,Qtr 1,September,BU08260300,Sterrenbuurt
8,1024.26,2018,Qtr 4,April,BU08260300,Buitengebied Dorst-Zuid
8,339.8,2021,Qtr 4,January,BU08260300,Dorst
8,1569.44,2019,Qtr 2,May,BU08260300,Buitengebied Dorst-Zuid
8,900.68,2019,Qtr 2,September,BU08260300,Buitengebied Dorst-Zuid
9,465.34,2020,Qtr 1,February,BU08261300,Slotjes-West
9,1142.28,2018,Qtr 3,February,BU08260300,Slotjes-West
9,1726.53,2018,Qtr 4,April,BU08260300,Slotjes-West
9,202.96,2019,Qtr 4,May,BU08261307,Dorst
9,1025.36,2019,Qtr 2,October,BU08260102,Vogelbuurt
9,1367.15,2020,Qtr 3,January,BU08261307,Slotjes-West
9,250.16,2019,Qtr 2,September,BU08260601,Slotjes-West
9,1995.45,2018,Qtr 1,May,BU08261307,Sterrenbuurt
9,1683.99,2020,Qtr 1,December,BU08261307,Buitengebied Dorst-Zuid
9,1379.16,2021,Qtr 4,November,BU08260601,Buitengebied Dorst-Zuid
9,1239.7,2019,Qtr 1,December,BU08260102,Buitengebied Dorst-Zuid
9,1756.99,2021,Qtr 4,November,BU08260102,Slotjes-West
9,608.96,2018,Qtr 1,July,BU08261307,Slotjes-West
9,19.3,2021,Qtr 2,April,BU08260300,Buitengebied Dorst-Zuid
9,2302.95,2021,Qtr 4,September,BU08260300,Slotjes-West
9,1022.54,2019,Qtr 4,May,BU08260300,Sterrenbuurt
9,523.17,2021,Qtr 1,February,BU08261300,Slotjes-West
9,1371.43,2021,Qtr 3,October,BU08260300,Sterrenbuurt
9,379.4,2020,Qtr 1,April,BU08260601,Vogelbuurt
9,1982.89,2019,Qtr 1,May,BU08261300,Vogelbuurt
10,322.43,2020,Qtr 1,November,BU08261307,Dorst
10,408.4,2021,Qtr 2,October,BU08260300,Buitengebied Dorst-Zuid
10,1632.69,2019,Qtr 3,January,BU08260601,Vogelbuurt
10,411.79,2019,Qtr 2,April,BU08260102,Buitengebied Dorst-Zuid
10,1849.19,2020,Qtr 2,December,BU08260601,Slotjes-West
10,2024.81,2020,Qtr 3,May,BU08261300,Sterrenbuurt
10,1311.42,2018,Qtr 2,May,BU08261300,Vogelbuurt
10,1959.78,2021,Qtr 2,August,BU08260300,Sterrenbuurt
10,762.33,2021,Qtr 1,December,BU08260300,Vogelbuurt
10,2404.47,2021,Qtr 4,March,BU08261300,Slotjes-West
10,1341.92,2019,Qtr 4,July,BU08260102,Slotjes-West
10,1222.13,2021,Qtr 1,October,BU08260102,Buitengebied Dorst-Zuid
10,2258.96,2021,Qtr 1,February,BU08260102,Sterrenbuurt
10,547.94,2019,Qtr 4,April,BU08261300,Sterrenbuurt
10,685.58,2019,Qtr 1,May,BU08260601,Slotjes-West
10,284.86,2020,Qtr 3,December,BU08260300,Slotjes-West
10,189.11,2018,Qtr 3,February,BU08260601,Dorst
10,1778.73,2020,Qtr 4,June,BU08260300,Vogelbuurt
10,776.34,2018,Qtr 3,September,BU08261300,Vogelbuurt
10,316.59,2019,Qtr 3,June,BU08260601,Buitengebied Dorst-Zuid
11,436.39,2019,Qtr 4,July,BU08260300,Buitengebied Dorst-Zuid
11,1600.06,2019,Qtr 1,October,BU08261307,Slotjes-West
11,384.43,2020,Qtr 1,July,BU08260601,Dorst
11,1913.45,2019,Qtr 3,January,BU08260300,Vogelbuurt
11,762.58,2021,Qtr 2,February,BU08260102,Sterrenbuurt
11,548.99,2020,Qtr 1,August,BU08261307,Sterrenbuurt
11,1056.79,2021,Qtr 1,July,BU08260300,Buitengebied Dorst-Zuid
11,867.64,2019,Qtr 2,June,BU08260300,Slotjes-West
