0,encounter_id,ID,"",None,Unique identifier of an encounter,None,no
1,patient_nbr,ID,"",None,Unique identifier of a patient,None,no
2,race,Feature,Categorical,Race,"Values: Caucasian, Asian, African American, Hispanic, and other",None,yes
3,gender,Feature,Categorical,Gender,"Values: male, female, and unknown/invalid",None,no
4,age,Feature,Categorical,Age,"Grouped in 10-year intervals: [0, 10), [10, 20),..., [90, 100)",None,no
5,weight,Feature,Categorical,None,Weight in pounds.,None,yes
6,admission_type_id,Feature,Categorical,None,"Integer identifier corresponding to 9 distinct values, for example, emergency, urgent, elective, newborn, and not available",None,no
7,discharge_disposition_id,Feature,Categorical,None,"Integer identifier corresponding to 29 distinct values, for example, discharged to home, expired, and not available",None,no
8,admission_source_id,Feature,Categorical,None,"Integer identifier corresponding to 21 distinct values, for example, physician referral, emergency room, and transfer from a hospital",None,no
9,time_in_hospital,Feature,Integer,None,Integer number of days between admission and discharge,None,no
10,payer_code,Feature,Categorical,None,"Integer identifier corresponding to 23 distinct values, for example, Blue Cross/Blue Shield, Medicare, and self-pay",None,yes
11,medical_specialty,Feature,Categorical,None,"Integer identifier of a specialty of the admitting physician, corresponding to 84 distinct values, for example, cardiology, internal medicine, family/general practice, and surgeon",None,yes
12,num_lab_procedures,Feature,Integer,None,Number of lab tests performed during the encounter,None,no
13,num_procedures,Feature,Integer,None,Number of procedures (other than lab tests) performed during the encounter,None,no
14,num_medications,Feature,Integer,None,Number of distinct generic names administered during the encounter,None,no
15,number_outpatient,Feature,Integer,None,Number of outpatient visits of the patient in the year preceding the encounter,None,no
16,number_emergency,Feature,Integer,None,Number of emergency visits of the patient in the year preceding the encounter,None,no
17,number_inpatient,Feature,Integer,None,Number of inpatient visits of the patient in the year preceding the encounter,None,no
18,diag_1,Feature,Categorical,None,The primary diagnosis (coded as first three digits of ICD9); 848 distinct values,None,yes
19,diag_2,Feature,Categorical,None,Secondary diagnosis (coded as first three digits of ICD9); 923 distinct values,None,yes
20,diag_3,Feature,Categorical,None,Additional secondary diagnosis (coded as first three digits of ICD9); 954 distinct values,None,yes
21,number_diagnoses,Feature,Integer,None,Number of diagnoses entered to the system,None,no
22,max_glu_serum,Feature,Categorical,None,"Indicates the range of the result or if the test was not taken. Values: >200, >300, normal, and none if not measured",None,no
23,A1Cresult,Feature,Categorical,None,"Indicates the range of the result or if the test was not taken. Values: >8 if the result was greater than 8%, >7 if the result was greater than 7% but less than 8%, normal if the result was less than 7%, and none if not measured.",None,no
24,metformin,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
25,repaglinide,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
26,nateglinide,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
27,chlorpropamide,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
28,glimepiride,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
29,acetohexamide,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
30,glipizide,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
31,glyburide,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
32,tolbutamide,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
33,pioglitazone,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
34,rosiglitazone,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
35,acarbose,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
36,miglitol,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
37,troglitazone,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
38,tolazamide,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
39,examide,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
40,citoglipton,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
41,insulin,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
42,glyburide-metformin,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
43,glipizide-metformin,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
44,glimepiride-pioglitazone,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
45,metformin-rosiglitazone,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
46,metformin-pioglitazone,Feature,Categorical,None,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",None,no
47,change,Feature,Categorical,None,Indicates if there was a change in diabetic medications (either dosage or generic name). Values: change and no change,None,no
48,diabetesMed,Feature,Categorical,None,Indicates if there was any diabetic medication prescribed. Values: yes and no,None,no
49,readmitted,Target,Categorical,None,"Days to inpatient readmission. Values: <30 if the patient was readmitted in less than 30 days, >30 if the patient was readmitted in more than 30 days, and No for no record of readmission.",None,no
